book_id,price,discount,date
12646,15000,0,2023-09-25 15:21:14.763263
113135,165000,20,2023-09-25 15:21:14.934266
87974,330000,15,2023-09-25 15:21:14.998307
73212,130000,25,2023-09-25 15:21:15.082307
43193,11000,0,2023-09-25 15:21:15.152309
95348,12000,10,2023-09-25 15:21:15.220349
4645,115000,15,2023-09-25 15:21:15.321346
64191,90000,0,2023-09-25 15:21:15.611697
6795,350000,30,2023-09-25 15:21:15.948474
6220,19000,20,2023-09-25 15:21:16.142630
16340,250000,0,2023-09-25 15:21:16.193187
19400,175000,15,2023-09-25 15:21:16.240231
1459,155000,20,2023-09-25 15:21:16.313189
61804,25000,25,2023-09-25 15:21:16.391207
108907,75000,15,2023-09-25 15:21:16.707343
20710,37500,25,2023-09-25 15:21:16.884317
17229,25000,15,2023-09-25 15:21:17.224602
90054,20000,0,2023-09-25 15:21:17.607618
101751,160000,25,2023-09-25 15:21:17.703252
119965,20000,25,2023-09-25 15:21:17.792212
42034,65000,15,2023-09-25 15:21:17.870211
5558,60000,25,2023-09-25 15:21:17.937338
103181,218000,15,2023-09-25 15:21:18.024374
61971,72000,25,2023-09-25 15:21:18.152218
112929,90000,30,2023-09-25 15:21:18.717672
96864,75000,25,2023-09-25 15:21:18.776593
38636,330000,25,2023-09-25 15:21:18.829635
25293,30000,25,2023-09-25 15:21:18.898596
25291,30000,0,2023-09-25 15:21:18.912592
25294,30000,0,2023-09-25 15:21:18.963594
45249,7000,0,2023-09-25 15:21:19.099814
58217,55000,20,2023-09-25 15:21:19.181817
44964,70000,25,2023-09-25 15:21:19.264815
48519,161000,0,2023-09-25 15:21:19.664448
836,110000,20,2023-09-25 15:21:19.858714
104687,176000,0,2023-09-25 15:21:19.883912
77387,120000,20,2023-09-25 15:21:19.961710
35100,1500,0,2023-09-25 15:21:20.075895
25702,232000,0,2023-09-25 15:21:20.499170
88768,85000,25,2023-09-25 15:21:20.727420
28379,35000,15,2023-09-25 15:21:20.859490
47448,75000,30,2023-09-25 15:21:20.919456
68118,50000,25,2023-09-25 15:21:21.127837
27248,58000,0,2023-09-25 15:21:21.296651
14898,325000,30,2023-09-25 15:21:21.447847
21642,78000,0,2023-09-25 15:21:21.689763
39815,10000,20,2023-09-25 15:21:21.808280
37247,60000,30,2023-09-25 15:21:21.863289
31294,14000,0,2023-09-25 15:21:21.919241
62651,12000,0,2023-09-25 15:21:21.993298
95972,55000,25,2023-09-25 15:21:22.093826
54602,60000,25,2023-09-25 15:21:22.185826
104887,170000,25,2023-09-25 15:21:22.270434
99437,18000,0,2023-09-25 15:21:22.733675
53528,250000,20,2023-09-25 15:21:22.833412
73472,15000,25,2023-09-25 15:21:22.920114
108426,400000,25,2023-09-25 15:21:23.042412
31227,175000,0,2023-09-25 15:21:23.122952
54954,220000,25,2023-09-25 15:21:23.245148
39778,18000,20,2023-09-25 15:21:23.541097
56507,79900,0,2023-09-25 15:21:23.737094
36784,180000,30,2023-09-25 15:21:23.808092
29097,165000,30,2023-09-25 15:21:23.877095
16322,125000,0,2023-09-25 15:21:23.934689
31218,10000,0,2023-09-25 15:21:23.995767
24058,268000,20,2023-09-25 15:21:24.132227
15930,18000,0,2023-09-25 15:21:24.275770
72208,2500,0,2023-09-25 15:21:24.783862
69781,48000,10,2023-09-25 15:21:24.879121
91810,32000,20,2023-09-25 15:21:24.935119
17883,175000,20,2023-09-25 15:21:24.996159
44256,13500,0,2023-09-25 15:21:25.043121
22144,23500,0,2023-09-25 15:21:25.092202
112506,160000,20,2023-09-25 15:21:25.213179
79809,110000,20,2023-09-25 15:21:25.294182
103007,25000,20,2023-09-25 15:21:25.394815
76746,60000,0,2023-09-25 15:21:25.622744
85169,250000,15,2023-09-25 15:21:25.867743
37220,10000,0,2023-09-25 15:21:25.935655
103952,2500,0,2023-09-25 15:21:26.087657
102715,110000,25,2023-09-25 15:21:26.282697
86057,40000,25,2023-09-25 15:21:26.338730
96110,30000,25,2023-09-25 15:21:26.397837
83605,18000,25,2023-09-25 15:21:26.448801
120555,59000,20,2023-09-25 15:21:26.495930
3521,10000,20,2023-09-25 15:21:26.611835
3519,50000,0,2023-09-25 15:21:26.634800
1863,35000,0,2023-09-25 15:21:26.822843
13625,12500,0,2023-09-25 15:21:26.866802
29840,30000,30,2023-09-25 15:21:26.947839
46529,290000,20,2023-09-25 15:21:27.075835
45811,100000,25,2023-09-25 15:21:27.130853
110410,55000,20,2023-09-25 15:21:27.216424
252,45000,0,2023-09-25 15:21:27.286738
60686,48000,0,2023-09-25 15:21:27.365056
57694,140000,25,2023-09-25 15:21:27.445095
60815,8000,0,2023-09-25 15:21:27.485091
43592,80000,0,2023-09-25 15:21:27.524704
34605,32000,0,2023-09-25 15:21:27.565645
34500,74000,25,2023-09-25 15:21:27.612314
